id,id_paper,name
0,2,Rogerio Feris
1,2,Matthew Turk
2,2,Ramesh Raskar
3,3,Anselmo Antunes Montenegro
4,3,Luiz Velho
5,3,Paulo C. P. Carvalho
6,3,Jonas Jr. Sossai
7,4,Marcos Craizer
8,4,Thomas Lewiner
9,4,Jean-marie Morvan
10,5,Joao Paulo Gois
11,5,Eduardo Tejada
12,5,Tiago Etiene
13,5,Luis Gustavo Nonato
14,5,Antonio Castelo
15,5,Thomas Ertl
16,6,Paulo A.V. Miranda
17,6,Felipe P.G. Bergo
18,6,Leonardo M. Rocha
19,6,Alexandre X. Falcao
20,7,Asla Sa
21,7,Marcelo Bernardes Vieira
22,7,Anselmo Antunes Montenegro
23,7,Paulo Cezar Carvalho
24,7,Luiz Velho
25,8,Romaric Audigier
26,8,Roberto Lotufo
27,9,Alex J. Cuadros-vargas
28,9,Leandro C. Gerhardinger
29,9,Mario de Castro
30,9,Joao Batista Neto
31,9,Luis Gustavo Nonato
32,10,Hedlena Bezerra
33,10,Bruno Feijo
34,10,Luiz Velho
35,11,Afonso Paiva
36,11,Fabiano Petronetto
37,11,Thomas Lewiner
38,11,Geovan Tavares
39,12,Rafael De Sousa Rocha
40,12,Maria Andreia Formico Rodrigues
41,12,Leandro Da Silva Taddeo
42,13,Jose Gilvan Rodrigues Maia
43,13,Creto Augusto Vidal
44,13,Joaquim Bento Cavalcante-neto
45,14,Alexei M. C. Machado
46,15,Carlos E. Thomaz
47,15,Nelson A.O. Aguiar
48,15,Sergio H.A. Oliveira
49,15,Fabio L.S. Duran
50,15,Geraldo F. Busatto
51,15,Duncan F. Gillies
52,15,Daniel Rueckert
53,16,J.S. Suri
54,16,Ruey-Feng Chang
55,16,G.A. Giraldi
56,16,P.S. Rodrigues
61,17,Sandrerley R. Pires
62,17,Edna L. Flores
63,17,Celia A. Z. Barcelos
64,17,Marcos A. Batista
65,18,Fabiano Romeiro
66,18,Luiz Velho
67,18,Luiz Henrique De Figueiredo
68,19,Ricardo Marroquim
69,19,Andre Maximo
70,19,Ricardo Farias
71,19,Claudio Esperanca
72,20,Elmar Eisemann
73,20,Xavier Decoret
74,21,Thomas Martinetz
75,21,Amir Madany Mamlouk
76,21,Cicero Mota
77,22,Flavio Luiz Coutinho
78,22,Carlos Hitoshi Morimoto
79,23,Teofilo E. De Campos
80,23,Walterio W. Mayol Cuevas
81,23,David W. Murray
82,24,Leyza Baldo Dorini
83,24,Siome Klein Goldenstein
84,25,Bruno Cedraz Brandao
85,25,Jacques Wainer
86,25,Siome Klein Goldenstein
87,26,Afonso Paiva
88,26,Helio Lopes
89,26,Thomas Lewiner
90,26,Luiz Henrique De Figueiredo
91,27,L. Velho
92,27,S. Goldenstein
93,27,A.X. Falcao
94,27,F.P.G. Bergo
95,27,F. de Goes
101,28,Pablo Diaz-Gutierrez
102,28,David Eppstein
103,28,M. Gopi
104,29,Alex Bordignon
105,29,Thomas Lewiner
106,29,Helio Lopes
107,29,Geovan Tavares
108,29,Rener Castro
109,30,Ives Macedo
110,30,Emilio Vital Brazil
111,30,Luiz Velho
112,31,Edson C. Kitani
113,31,Carlos E. Thomaz
114,31,Duncan F. Gillies
115,32,Alejandro C. Frery
116,32,Susana Ferrero
117,32,Oscar H. Bustos
118,33,Gustavo de Sa
119,33,Roberto Lotufo
120,34,Alex Laier Bordignon
121,34,Rener Castro
122,34,Helio Lopes
123,34,Thomas Lewiner
124,34,Geovan Tavares
125,35,Francisco De Moura Pinto
126,35,Carla M.D.S. Freitas
127,36,Philipp Kolhoff
128,36,Jacqueline Preub
129,36,Jorn Loviscach
130,37,Marcos Lage
131,37,Fabiano Petronetto
132,37,Afonso Paiva
133,37,Helio Lopes
134,37,Thomas Lewiner
135,37,Geovan Tavares
136,38,M. Couprie
137,38,A. V. Saude
138,38,G. Bertrand
139,39,Arnaldo Camara Lara
140,39,Roberto Jr. Hirata
141,40,Neucimar Jeronimo Leite
142,40,Leyza Baldo Dorini
143,41,Jorge J. G. Leandro
144,41,Roberto M. Jr. Cesar
145,41,Luciano Da Fontoura Costa
146,42,Ingo Stuke
147,42,Erhardt Barth
148,42,Cicero Mota
149,43,Claudio R. Jung
150,43,Julio C. S. Jr. Jacques
151,43,John Soldera
152,43,Soraia R. Musse
153,44,Hebert Luchetti Ribeiro
154,44,Adilson Gonzaga
155,45,G. Camara Chavez
156,45,M. Cord
157,45,F. Precioso
158,45,S. Philipp-Foliguet
159,45,Arnaldo De A. Araujo
